GIST Output v4 spacing=0.5000 center=39.484000,35.880000,33.355000 dims=25,31,47 
voxel xcoord ycoord zcoord population g_O g_H dTStrans-dens(kcal/mol/A^3) dTStrans-norm(kcal/mol) dTSorient-dens(kcal/mol/A^3) dTSorient-norm(kcal/mol) dTSsix-dens(kcal/mol/A^3) dTSsix-norm(kcal/mol) Esw-dens(kcal/mol/A^3) Esw-norm(kcal/mol) Eww-dens(kcal/mol/A^3) Eww-norm-unref(kcal/mol) Dipole_x-dens(D/A^3) Dipole_y-dens(D/A^3) Dipole_z-dens(D/A^3) Dipole-dens(D/A^3) neighbor-dens(1/A^3) neighbor-norm order-norm
67 33.484 28.88 31.855 33 0.814371 0.57485 0 0 -0.0114245 -0.432745 0 0 -0.0118997 -0.450745 -0.256828 -9.72832 -0.00215624 -0.00757897 0.00385422 0.00877184 0.1352 5.12121 0 
68 33.484 28.88 32.355 37 0.838323 0.598802 0 0 0.00155485 0.0525288 0 0 -0.0121894 -0.411805 -0.282212 -9.53418 -0.00678049 -0.00575544 -0.00193847 0.00910263 0.144 4.86486 0 
69 33.484 28.88 32.855 22 0.57485 0.898204 0 0 0.00131506 0.0747191 0 0 -0.00876212 -0.497847 -0.165895 -9.42584 -0.00640609 -0.00179588 -0.00273355 0.00719274 0.0928 5.27273 0 
70 33.484 28.88 33.355 24 0.718563 1.07784 0 0 -0.00263823 -0.137408 0 0 -0.0152695 -0.795289 -0.182377 -9.49881 -0.00296247 0.00126788 0.00556405 0.00642981 0.088 4.58333 0 
71 33.484 28.88 33.855 44 0.934132 1.48503 0 0 0.00119802 0.0340346 0 0 -0.0203376 -0.577772 -0.332802 -9.45461 0.00625823 -0.00644441 -0.00481383 0.0101916 0.1664 4.72727 0 
72 33.484 28.88 34.355 66 1.50898 1.35329 0 0 -0.0198918 -0.376738 0 0 -0.0442594 -0.838246 -0.493512 -9.34682 0.000724289 -0.00267604 -0.0226202 0.0227895 0.2568 4.86364 0 
73 33.484 28.88 34.855 60 1.46108 0.742515 0 0 -0.024126 -0.502625 0 0 -0.0337477 -0.703078 -0.449186 -9.35805 -0.00147262 -0.0224642 0.0252813 0.0338519 0.2136 4.45 0 
74 33.484 28.88 35.355 38 1.00599 1.13772 0 0 -0.0201751 -0.663654 0 0 -0.0190327 -0.626074 -0.295148 -9.70881 0.00860437 -0.0128302 0.0264382 0.0306207 0.1368 4.5 0 
75 33.484 28.88 35.855 44 1.02994 1.78443 0 0 -0.0251959 -0.715792 0 0 -0.0499403 -1.41876 -0.31282 -8.88694 0.0287673 -0.0142248 0.00243212 0.0321841 0.1416 4.02273 0 
76 33.484 28.88 36.355 80 1.96407 4.09581 0 0 -0.0599033 -0.935989 0 0 -0.148574 -2.32147 -0.557698 -8.71403 0.0162154 -0.0582594 -0.0198246 0.0636405 0.2368 3.7 0 
77 33.484 28.88 36.855 367 8.19162 3.34132 0 0 -0.290122 -0.988154 0 0 -0.857097 -2.91927 -2.43959 -8.30922 -0.0609188 -0.339361 -0.263562 0.433984 1.0392 3.53951 0 
78 33.484 28.88 37.355 490 12.9341 1.1976 0 0 -0.379165 -0.967259 0 0 -1.29376 -3.30042 -3.02361 -7.71328 -0.0289695 -0.561341 -0.306653 0.640296 1.268 3.23469 0 
79 33.484 28.88 37.855 33 1.07784 0.0958084 0 0 -0.0288245 -1.09184 0 0 -0.109561 -4.15003 -0.173008 -6.55335 0.00333239 -0.0482895 0.00549628 0.0487154 0.076 2.87879 0 
80 33.484 28.88 38.355 0 0 0.0359281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
81 33.484 28.88 38.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
82 33.484 28.88 39.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
83 33.484 28.88 39.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
84 33.484 28.88 40.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
85 33.484 28.88 40.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
86 33.484 28.88 41.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
87 33.484 28.88 41.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
88 33.484 28.88 42.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
89 33.484 28.88 42.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
90 33.484 28.88 43.355 0 0 0.0239521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
91 33.484 28.88 43.855 0 0 0.191617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
92 33.484 28.88 44.355 4 0.0718563 0.215569 0 0 -0.00131266 -0.410206 0 0 -0.0229729 -7.17904 -0.0234276 -7.32113 -0.00140814 0.00220399 -0.00457959 0.00527381 0.0104 3.25 0 
93 33.484 28.88 44.855 7 0.143713 1.37725 0 0 -0.00505943 -0.90347 0 0 -0.0422672 -7.54772 -0.0300199 -5.36069 0.00523065 0.00783733 -0.00505157 0.0106912 0.0256 4.57143 0 
94 33.484 29.38 21.855 39 1.00599 0.826347 0 0 -0.000877861 -0.0281366 0 0 -0.00116904 -0.0374693 -0.295738 -9.47878 -0.00157512 -0.00520626 -0.00472185 0.00720291 0.1608 5.15385 0 
95 33.484 29.38 22.355 37 0.91018 0.778443 0 0 0.00709397 0.239661 0 0 -0.00360303 -0.121724 -0.286486 -9.67859 -0.00191184 -0.00687077 0.00371719 0.00804239 0.1552 5.24324 0 
96 33.484 29.38 22.855 30 0.670659 0.958084 0 0 -0.0014501 -0.0604209 0 0 -0.0086547 -0.360612 -0.230043 -9.58514 0.00385018 -0.0161543 0.00315767 0.0169044 0.1248 5.2 0 
97 33.484 29.38 23.355 49 1.00599 1.08982 0 0 0.00238462 0.0608323 0 0 -0.00301088 -0.0768083 -0.370674 -9.45597 0.00383026 -0.00917606 -0.0155476 0.0184553 0.2008 5.12245 0 
98 33.484 29.38 23.855 40 0.982036 0.934132 0 0 0.00566262 0.176957 0 0 -0.00334733 -0.104604 -0.299272 -9.35224 0.0067543 -0.00238915 -0.00488133 0.00866926 0.1624 5.075 0 
99 33.484 29.38 24.355 59 1.43713 1.25749 0 0 0.00138522 0.0293478 0 0 -0.00401313 -0.0850239 -0.465752 -9.86762 -0.0179172 -0.0120591 -0.00291428 0.0217931 0.2536 5.37288 0 
100 33.484 29.38 24.855 39 1.07784 1.07784 0 0 0.00622478 0.199512 0 0 -0.00330382 -0.105892 -0.301432 -9.66129 -0.00481672 -0.00663112 0.00163148 0.00835669 0.1784 5.71795 0 
101 33.484 29.38 25.355 51 1.1018 0.898204 0 0 0.00363273 0.0890375 0 0 -0.00404991 -0.0992625 -0.391055 -9.58467 -0.013171 -0.0109875 -0.00377455 0.0175627 0.2352 5.76471 0 
102 33.484 29.38 25.855 36 0.838323 0.790419 0 0 0.000546662 0.0189813 0 0 -0.0010856 -0.0376943 -0.278655 -9.67553 0.0040481 -0.0070757 -0.0170698 0.0189164 0.1528 5.30556 0 
103 33.484 29.38 26.355 34 0.790419 0.814371 0 0 0.00444913 0.163571 0 0 -3.26673e-05 -0.001201 -0.257304 -9.4597 0.0064994 0.00260713 -0.00772551 0.010427 0.1464 5.38235 0 
